"season","week","half","even_wk","team","result","win","loss","tie"
1999,5,"first","odd","DET",-10,0,1,0
1999,5,"first","odd","GB",3,1,0,0
1999,5,"first","odd","IND",-3,0,1,0
1999,5,"first","odd","KC",2,1,0,0
1999,5,"first","odd","MIN",-2,0,1,0
1999,5,"first","odd","NO",-3,0,1,0
1999,5,"first","odd","OAK",-3,0,1,0
1999,5,"first","odd","PHI",3,1,0,0
1999,5,"first","odd","STL",22,1,0,0
1999,5,"first","odd","TEN",3,1,0,0
1999,5,"first","odd","NYJ",-10,0,1,0
1999,6,"first","even","ARI",-14,0,1,0
1999,6,"first","even","ATL",-28,0,1,0
1999,6,"first","even","BUF",-6,0,1,0
1999,6,"first","even","CHI",-4,0,1,0
1999,6,"first","even","CIN",-14,0,1,0
1999,6,"first","even","DEN",21,1,0,0
1999,6,"first","even","DET",2,1,0,0
1999,6,"first","even","JAX",17,1,0,0
1999,6,"first","even","NE",-1,0,1,0
1999,6,"first","even","NO",-3,0,1,0
1999,6,"first","even","NYJ",-3,0,1,0
1999,6,"first","even","SD",3,1,0,0
1999,6,"first","even","SF",-2,0,1,0
1999,6,"first","even","NYG",3,1,0,0
1999,7,"first","odd","BAL",-27,0,1,0
1999,7,"first","odd","CAR",-15,0,1,0
1999,7,"first","odd","DAL",18,1,0,0
1999,7,"first","odd","IND",21,1,0,0
1999,7,"first","odd","MIA",3,1,0,0
1999,7,"first","odd","MIN",24,1,0,0
1999,7,"first","odd","NE",1,1,0,0
1999,7,"first","odd","NYG",28,1,0,0
1999,7,"first","odd","OAK",1,1,0,0
1999,7,"first","odd","SD",-28,0,1,0
1999,7,"first","odd","SEA",10,1,0,0
1999,7,"first","odd","STL",31,1,0,0
1999,7,"first","odd","TB",3,1,0,0
1999,7,"first","odd","PIT",4,1,0,0
1999,8,"first","even","ARI",-24,0,1,0
1999,8,"first","even","ATL",7,1,0,0
1999,8,"first","even","BAL",-3,0,1,0
1999,8,"first","even","CIN",-31,0,1,0
1999,8,"first","even","DEN",-3,0,1,0
1999,8,"first","even","DET",17,1,0,0
1999,8,"first","even","IND",10,1,0,0
1999,8,"first","even","KC",34,1,0,0
1999,8,"first","even","NO",-5,0,1,0
1999,8,"first","even","OAK",-7,0,1,0
1999,8,"first","even","PHI",-6,0,1,0
1999,8,"first","even","TEN",3,1,0,0
1999,8,"first","even","WAS",26,1,0,0
1999,8,"first","even","GB",-20,0,1,0
1999,9,"second","odd","ATL",-23,0,1,0
1999,9,"second","odd","CAR",26,1,0,0
1999,9,"second","odd","CLE",-32,0,1,0
1999,9,"second","odd","DET",4,1,0,0
1999,9,"second","odd","GB",-1,0,1,0
1999,9,"second","odd","IND",8,1,0,0
1999,9,"second","odd","MIA",17,1,0,0
1999,9,"second","odd","NO",-15,0,1,0
1999,9,"second","odd","NYJ",5,1,0,0
1999,9,"second","odd","SD",-16,0,1,0
1999,9,"second","odd","SEA",17,1,0,0
1999,9,"second","odd","SF",-21,0,1,0
1999,9,"second","odd","WAS",-17,0,1,0
1999,9,"second","odd","MIN",10,1,0,0
1999,10,"second","even","ARI",4,1,0,0
1999,10,"second","even","BUF",20,1,0,0
1999,10,"second","even","CHI",-3,0,1,0
1999,10,"second","even","CIN",-10,0,1,0
1999,10,"second","even","DAL",14,1,0,0
1999,10,"second","even","JAX",3,1,0,0
1999,10,"second","even","NO",18,1,0,0
1999,10,"second","even","NYG",-8,0,1,0
1999,10,"second","even","OAK",19,1,0,0
1999,10,"second","even","PHI",7,1,0,0
1999,10,"second","even","PIT",-1,0,1,0
1999,10,"second","even","SEA",3,1,0,0
1999,10,"second","even","STL",25,1,0,0
1999,10,"second","even","TB",7,1,0,0
1999,10,"second","even","NE",-7,0,1,0
1999,11,"second","odd","ARI",4,1,0,0
1999,11,"second","odd","CIN",-3,0,1,0
1999,11,"second","odd","CLE",-14,0,1,0
1999,11,"second","odd","GB",9,1,0,0
1999,11,"second","odd","JAX",18,1,0,0
1999,11,"second","odd","KC",-12,0,1,0
1999,11,"second","odd","MIA",10,1,0,0
1999,11,"second","odd","NYJ",10,1,0,0
1999,11,"second","odd","PHI",-27,0,1,0
1999,11,"second","odd","SD",-3,0,1,0
1999,11,"second","odd","SF",-16,0,1,0
1999,11,"second","odd","TB",9,1,0,0
1999,11,"second","odd","TEN",6,1,0,0
1999,11,"second","odd","WAS",10,1,0,0
1999,11,"second","odd","DEN",6,1,0,0
1999,12,"second","even","DAL",20,1,0,0
1999,12,"second","even","DET",4,1,0,0
1999,12,"second","even","BAL",-7,0,1,0
1999,12,"second","even","BUF",10,1,0,0
1999,12,"second","even","CAR",6,1,0,0
1999,12,"second","even","CLE",-12,0,1,0
1999,12,"second","even","IND",7,1,0,0
1999,12,"second","even","MIN",8,1,0,0
1999,12,"second","even","NYG",-10,0,1,0
1999,12,"second","even","OAK",-3,0,1,0
1999,12,"second","even","PIT",-7,0,1,0
1999,12,"second","even","SEA",-13,0,1,0
1999,12,"second","even","STL",31,1,0,0
1999,12,"second","even","WAS",3,1,0,0
1999,12,"second","even","SF",-17,0,1,0
1999,13,"second","odd","JAX",14,1,0,0
1999,13,"second","odd","ARI",4,1,0,0
1999,13,"second","odd","ATL",23,1,0,0
1999,13,"second","odd","BAL",27,1,0,0
1999,13,"second","odd","CAR",-13,0,1,0
1999,13,"second","odd","CHI",-16,0,1,0
1999,13,"second","odd","CIN",14,1,0,0
1999,13,"second","odd","DEN",-6,0,1,0
1999,13,"second","odd","DET",16,1,0,0
1999,13,"second","odd","MIA",-3,0,1,0
1999,13,"second","odd","NE",7,1,0,0
1999,13,"second","odd","NYG",13,1,0,0
1999,13,"second","odd","OAK",9,1,0,0
1999,13,"second","odd","SD",13,1,0,0
1999,13,"second","odd","TB",7,1,0,0
1999,14,"second","even","TEN",7,1,0,0
1999,14,"second","even","BUF",-2,0,1,0
1999,14,"second","even","CIN",16,1,0,0
1999,14,"second","even","DAL",10,1,0,0
1999,14,"second","even","GB",-2,0,1,0
1999,14,"second","even","IND",5,1,0,0
1999,14,"second","even","KC",3,1,0,0
1999,14,"second","even","NO",-16,0,1,0
1999,14,"second","even","NYJ",8,1,0,0
1999,14,"second","even","PIT",-7,0,1,0
1999,14,"second","even","SEA",-3,0,1,0
1999,14,"second","even","SF",19,1,0,0
1999,14,"second","even","TB",7,1,0,0
1999,14,"second","even","WAS",25,1,0,0
1999,14,"second","even","JAX",3,1,0,0
1999,15,"second","odd","CAR",17,1,0,0
1999,15,"second","odd","KC",16,1,0,0
1999,15,"second","odd","ARI",-10,0,1,0
1999,15,"second","odd","BAL",23,1,0,0
1999,15,"second","odd","CHI",18,1,0,0
1999,15,"second","odd","CLE",-10,0,1,0
1999,15,"second","odd","DAL",-1,0,1,0
1999,15,"second","odd","DEN",6,1,0,0
1999,15,"second","odd","IND",3,1,0,0
1999,15,"second","odd","MIA",3,1,0,0
1999,15,"second","odd","OAK",45,1,0,0
1999,15,"second","odd","PHI",15,1,0,0
1999,15,"second","odd","STL",21,1,0,0
1999,15,"second","odd","TEN",13,1,0,0
1999,15,"second","odd","MIN",4,1,0,0
1999,16,"second","even","NO",7,1,0,0
1999,16,"second","even","DET",-10,0,1,0
1999,16,"second","even","ATL",23,1,0,0
1999,16,"second","even","BAL",22,1,0,0
1999,16,"second","even","CLE",-1,0,1,0
1999,16,"second","even","NE",-3,0,1,0
1999,16,"second","even","NYG",-17,0,1,0
1999,16,"second","even","PIT",10,1,0,0
1999,16,"second","even","SD",3,1,0,0
1999,16,"second","even","SEA",9,1,0,0
1999,16,"second","even","SF",-6,0,1,0
1999,16,"second","even","STL",22,1,0,0
1999,16,"second","even","TB",19,1,0,0
1999,16,"second","even","TEN",27,1,0,0
1999,16,"second","even","MIA",-7,0,1,0
1999,17,"second","odd","BUF",25,1,0,0
1999,17,"second","odd","CAR",32,1,0,0
1999,17,"second","odd","CHI",-14,0,1,0
1999,17,"second","odd","DAL",8,1,0,0
1999,17,"second","odd","DEN",-6,0,1,0
1999,17,"second","odd","GB",25,1,0,0
1999,17,"second","odd","JAX",17,1,0,0
1999,17,"second","odd","KC",-3,0,1,0
1999,17,"second","odd","MIN",7,1,0,0
1999,17,"second","odd","NE",17,1,0,0
1999,17,"second","odd","NYJ",10,1,0,0
1999,17,"second","odd","PHI",7,1,0,0
1999,17,"second","odd","PIT",-11,0,1,0
1999,17,"second","odd","WAS",11,1,0,0
1999,17,"second","odd","ATL",5,1,0,0
2000,1,"first","odd","ATL",8,1,0,0
2000,1,"first","odd","CLE",-20,0,1,0
2000,1,"first","odd","KC",-13,0,1,0
2000,1,"first","odd","MIN",3,1,0,0
2000,1,"first","odd","NE",-5,0,1,0
2000,1,"first","odd","NO",-4,0,1,0
2000,1,"first","odd","NYG",5,1,0,0
2000,1,"first","odd","PIT",-16,0,1,0
2000,1,"first","odd","WAS",3,1,0,0
2000,1,"first","odd","DAL",-27,0,1,0
2000,1,"first","odd","GB",-4,0,1,0
2000,1,"first","odd","MIA",23,1,0,0
2000,1,"first","odd","OAK",3,1,0,0
2000,1,"first","odd","BUF",3,1,0,0
2000,1,"first","odd","STL",5,1,0,0
2000,2,"first","even","IND",-7,0,1,0
2000,2,"first","even","BAL",3,1,0,0
2000,2,"first","even","BUF",9,1,0,0
2000,2,"first","even","CIN",-17,0,1,0
2000,2,"first","even","MIN",6,1,0,0
2000,2,"first","even","PHI",-15,0,1,0
2000,2,"first","even","TB",41,1,0,0
2000,2,"first","even","TEN",3,1,0,0
2000,2,"first","even","DEN",28,1,0,0
2000,2,"first","even","DET",5,1,0,0
2000,2,"first","even","SD",-1,0,1,0
2000,2,"first","even","SEA",-3,0,1,0
2000,2,"first","even","SF",-16,0,1,0
2000,2,"first","even","ARI",1,1,0,0
2000,2,"first","even","NYJ",1,1,0,0
2000,3,"first","odd","CAR",-5,0,1,0
2000,3,"first","odd","CLE",3,1,0,0
2000,3,"first","odd","DET",-21,0,1,0
2000,3,"first","odd","GB",3,1,0,0
2000,3,"first","odd","JAX",13,1,0,0
2000,3,"first","odd","KC",32,1,0,0
2000,3,"first","odd","NYJ",13,1,0,0
2000,3,"first","odd","STL",17,1,0,0
2000,3,"first","odd","OAK",-9,0,1,0
2000,3,"first","odd","CHI",-7,0,1,0
2000,3,"first","odd","NE",-8,0,1,0
2000,3,"first","odd","SEA",10,1,0,0
2000,3,"first","odd","MIA",13,1,0,0
2000,3,"first","odd","WAS",-6,0,1,0
2000,4,"first","even","ATL",-21,0,1,0
2000,4,"first","even","BAL",37,1,0,0
2000,4,"first","even","CHI",-7,0,1,0
2000,4,"first","even","DAL",-17,0,1,0
2000,4,"first","even","MIA",7,1,0,0
2000,4,"first","even","NO",-14,0,1,0
2000,4,"first","even","PIT",-3,0,1,0
2000,4,"first","even","ARI",-26,0,1,0
2000,4,"first","even","DEN",-1,0,1,0
2000,4,"first","even","OAK",26,1,0,0
2000,4,"first","even","SD",-8,0,1,0
2000,4,"first","even","TB",-4,0,1,0
2000,4,"first","even","NYG",-10,0,1,0
2000,4,"first","even","IND",29,1,0,0
2000,5,"first","odd","BUF",-2,0,1,0
2000,5,"first","odd","CAR",-3,0,1,0
2000,5,"first","odd","CLE",-12,0,1,0
2000,5,"first","odd","DET",-7,0,1,0
2000,5,"first","odd","JAX",-11,0,1,0
2000,5,"first","odd","STL",26,1,0,0
2000,5,"first","odd","TEN",14,1,0,0
2000,5,"first","odd","CIN",-15,0,1,0
2000,5,"first","odd","DEN",-9,0,1,0
2000,5,"first","odd","GB",-3,0,1,0
2000,5,"first","odd","SF",7,1,0,0
2000,5,"first","odd","WAS",3,1,0,0
2000,5,"first","odd","PHI",28,1,0,0
2000,5,"first","odd","KC",7,1,0,0
2000,6,"first","even","CHI",-21,0,1,0
2000,6,"first","even","CIN",-9,0,1,0
2000,6,"first","even","DET",7,1,0,0
2000,6,"first","even","MIA",9,1,0,0
2000,6,"first","even","NE",8,1,0,0
2000,6,"first","even","NYJ",-17,0,1,0
2000,6,"first","even","PHI",-3,0,1,0
2000,6,"first","even","ARI",8,1,0,0
2000,6,"first","even","ATL",-7,0,1,0
2000,6,"first","even","CAR",23,1,0,0
2000,6,"first","even","SD",-14,0,1,0
2000,6,"first","even","SF",-6,0,1,0
2000,6,"first","even","JAX",-5,0,1,0
2000,6,"first","even","MIN",7,1,0,0
2000,7,"first","odd","BUF",3,1,0,0
2000,7,"first","odd","KC",-3,0,1,0
2000,7,"first","odd","NO",18,1,0,0
2000,7,"first","odd","NYG",5,1,0,0
2000,7,"first","odd","PIT",15,1,0,0
2000,7,"first","odd","STL",16,1,0,0
2000,7,"first","odd","WAS",7,1,0,0
2000,7,"first","odd","ARI",-19,0,1,0
2000,7,"first","odd","DEN",34,1,0,0
2000,7,"first","odd","NE",-17,0,1,0
2000,7,"first","odd","SEA",-13,0,1,0
2000,7,"first","odd","GB",3,1,0,0
2000,7,"first","odd","CHI",-12,0,1,0
2000,7,"first","odd","TEN",14,1,0,0
2000,8,"first","even","TB",-14,0,1,0
2000,8,"first","even","IND",7,1,0,0
2000,8,"first","even","ATL",-2,0,1,0
2000,8,"first","even","BAL",-8,0,1,0
2000,8,"first","even","CAR",18,1,0,0
2000,8,"first","even","CIN",10,1,0,0
2000,8,"first","even","DAL",41,1,0,0
2000,8,"first","even","KC",20,1,0,0
2000,8,"first","even","MIN",4,1,0,0
2000,8,"first","even","PHI",4,1,0,0
2000,8,"first","even","OAK",28,1,0,0
2000,8,"first","even","PIT",22,1,0,0
2000,8,"first","even","JAX",-19,0,1,0
2000,8,"first","even","NYJ",3,1,0,0
2000,9,"second","odd","ATL",1,1,0,0
2000,9,"second","odd","BAL",-3,0,1,0
2000,9,"second","odd","BUF",3,1,0,0
2000,9,"second","odd","CLE",-9,0,1,0
2000,9,"second","odd","IND",12,1,0,0
2000,9,"second","odd","MIA",8,1,0,0
2000,9,"second","odd","TB",28,1,0,0
2000,9,"second","odd","ARI",-11,0,1,0
2000,9,"second","odd","NYG",17,1,0,0
2000,9,"second","odd","SF",-10,0,1,0
2000,9,"second","odd","DAL",-6,0,1,0
2000,9,"second","odd","SEA",-5,0,1,0
2000,9,"second","odd","SD",-2,0,1,0
2000,9,"second","odd","WAS",-6,0,1,0
2000,10,"second","even","ATL",-13,0,1,0
2000,10,"second","even","CHI",3,1,0,0
2000,10,"second","even","CIN",-20,0,1,0
2000,10,"second","even","CLE",-21,0,1,0
2000,10,"second","even","DET",-15,0,1,0
2000,10,"second","even","NE",-3,0,1,0
2000,10,"second","even","NO",16,1,0,0
2000,10,"second","even","PHI",3,1,0,0
2000,10,"second","even","TEN",2,1,0,0
2000,10,"second","even","ARI",1,1,0,0
2000,10,"second","even","NYJ",-7,0,1,0
2000,10,"second","even","OAK",18,1,0,0
2000,10,"second","even","SEA",2,1,0,0
2000,10,"second","even","STL",-3,0,1,0
2000,10,"second","even","GB",6,1,0,0
2000,11,"second","odd","BUF",17,1,0,0
2000,11,"second","odd","CAR",-10,0,1,0
2000,11,"second","odd","DAL",17,1,0,0
2000,11,"second","odd","DET",3,1,0,0
2000,11,"second","odd","JAX",-7,0,1,0
2000,11,"second","odd","MIN",17,1,0,0
2000,11,"second","odd","PIT",-3,0,1,0
2000,11,"second","odd","TEN",-1,0,1,0
2000,11,"second","odd","CLE",8,1,0,0
2000,11,"second","odd","SD",-10,0,1,0
2000,11,"second","odd","SF",14,1,0,0
2000,11,"second","odd","NYG",-14,0,1,0
2000,11,"second","odd","TB",5,1,0,0
2000,11,"second","odd","IND",8,1,0,0
2000,11,"second","odd","DEN",3,1,0,0
2000,12,"second","even","CHI",3,1,0,0
2000,12,"second","even","GB",2,1,0,0
2000,12,"second","even","KC",-4,0,1,0
2000,12,"second","even","MIN",14,1,0,0
2000,12,"second","even","NE",3,1,0,0
2000,12,"second","even","NO",-9,0,1,0
2000,12,"second","even","NYG",-10,0,1,0
2000,12,"second","even","PHI",25,1,0,0
2000,12,"second","even","TEN",14,1,0,0
2000,12,"second","even","DEN",1,1,0,0
2000,12,"second","even","MIA",-17,0,1,0
2000,12,"second","even","BAL",27,1,0,0
2000,12,"second","even","SF",10,1,0,0
2000,12,"second","even","PIT",-10,0,1,0
2000,12,"second","even","STL",-13,0,1,0
2000,13,"second","odd","DET",25,1,0,0
2000,13,"second","odd","DAL",-12,0,1,0
2000,13,"second","odd","BAL",37,1,0,0
2000,13,"second","odd","CIN",-20,0,1,0
2000,13,"second","odd","NYJ",7,1,0,0
2000,13,"second","odd","STL",-7,0,1,0
2000,13,"second","odd","TB",14,1,0,0
2000,13,"second","odd","WAS",-3,0,1,0
2000,13,"second","odd","OAK",27,1,0,0
2000,13,"second","odd","IND",-3,0,1,0
2000,13,"second","odd","JAX",3,1,0,0
2000,13,"second","odd","SD",1,1,0,0
2000,13,"second","odd","SEA",-7,0,1,0
2000,13,"second","odd","ARI",-24,0,1,0
2000,13,"second","odd","CAR",17,1,0,0
2000,14,"second","even","MIN",7,1,0,0
2000,14,"second","even","ATL",-20,0,1,0
2000,14,"second","even","BUF",-27,0,1,0
2000,14,"second","even","CAR",13,1,0,0
2000,14,"second","even","CIN",11,1,0,0
2000,14,"second","even","NO",-15,0,1,0
2000,14,"second","even","PHI",-2,0,1,0
2000,14,"second","even","PIT",1,1,0,0
2000,14,"second","even","TB",20,1,0,0
2000,14,"second","even","WAS",-2,0,1,0
2000,14,"second","even","SD",-28,0,1,0
2000,14,"second","even","JAX",48,1,0,0
2000,14,"second","even","NYJ",10,1,0,0
2000,14,"second","even","CHI",-22,0,1,0
2000,14,"second","even","NE",6,1,0,0
2000,15,"second","odd","BAL",21,1,0,0
2000,15,"second","odd","CHI",7,1,0,0
2000,15,"second","odd","CLE",-11,0,1,0
2000,15,"second","odd","GB",13,1,0,0
2000,15,"second","odd","JAX",34,1,0,0
2000,15,"second","odd","KC",1,1,0,0
2000,15,"second","odd","MIA",-3,0,1,0
2000,15,"second","odd","NYG",20,1,0,0
2000,15,"second","odd","TEN",32,1,0,0
2000,15,"second","odd","DEN",7,1,0,0
2000,15,"second","odd","DAL",19,1,0,0
2000,15,"second","odd","SF",-4,0,1,0
2000,15,"second","odd","STL",11,1,0,0
2000,15,"second","odd","OAK",24,1,0,0
2000,15,"second","odd","IND",24,1,0,0
2000,16,"second","even","PIT",21,1,0,0
2000,16,"second","even","SEA",3,1,0,0
2000,16,"second","even","BUF",-3,0,1,0
2000,16,"second","even","CAR",8,1,0,0
2000,16,"second","even","CIN",3,1,0,0
2000,16,"second","even","CLE",-24,0,1,0
2000,16,"second","even","KC",13,1,0,0
2000,16,"second","even","MIN",-5,0,1,0
2000,16,"second","even","NO",16,1,0,0
2000,16,"second","even","NYJ",-3,0,1,0
2000,16,"second","even","SF",17,1,0,0
2000,16,"second","even","ARI",-6,0,1,0
2000,16,"second","even","MIA",-7,0,1,0
2000,16,"second","even","DAL",-4,0,1,0
2000,16,"second","even","TB",3,1,0,0
2000,17,"second","odd","NYG",3,1,0,0
2000,17,"second","odd","DEN",29,1,0,0
2000,17,"second","odd","SEA",-19,0,1,0
2000,17,"second","odd","ATL",16,1,0,0
2000,17,"second","odd","BAL",14,1,0,0
2000,17,"second","odd","DET",-3,0,1,0
2000,17,"second","odd","GB",3,1,0,0
2000,17,"second","odd","NE",-3,0,1,0
2000,17,"second","odd","NO",-5,0,1,0
2000,17,"second","odd","PHI",9,1,0,0
2000,17,"second","odd","WAS",17,1,0,0
2000,17,"second","odd","SD",-13,0,1,0
2000,17,"second","odd","IND",21,1,0,0
2000,17,"second","odd","OAK",43,1,0,0
2000,17,"second","odd","TEN",31,1,0,0
2001,1,"first","odd","BAL",11,1,0,0
2001,1,"first","odd","BUF",-18,0,1,0
2001,1,"first","odd","CIN",6,1,0,0
2001,1,"first","odd","CLE",-3,0,1,0
2001,1,"first","odd","DAL",-4,0,1,0
2001,1,"first","odd","GB",22,1,0,0
2001,1,"first","odd","JAX",18,1,0,0
2001,1,"first","odd","KC",-3,0,1,0
2001,1,"first","odd","MIN",-11,0,1,0
2001,1,"first","odd","NYJ",-21,0,1,0
2001,1,"first","odd","PHI",-3,0,1,0
2001,1,"first","odd","SD",27,1,0,0
2001,1,"first","odd","SF",3,1,0,0
2001,1,"first","odd","TEN",-8,0,1,0
2001,1,"first","odd","DEN",11,1,0,0
2001,2,"first","even","ATL",8,1,0,0
2001,2,"first","even","CHI",7,1,0,0
2001,2,"first","even","CIN",11,1,0,0
2001,2,"first","even","CLE",10,1,0,0
2001,2,"first","even","DAL",-11,0,1,0
2001,2,"first","even","IND",16,1,0,0
2001,2,"first","even","JAX",7,1,0,0
2001,2,"first","even","KC",-10,0,1,0
2001,2,"first","even","MIA",3,1,0,0
2001,2,"first","even","NE",-7,0,1,0
2001,2,"first","even","SEA",-24,0,1,0
2001,2,"first","even","SF",-4,0,1,0
2001,2,"first","even","ARI",-21,0,1,0
2001,2,"first","even","GB",37,1,0,0
2001,3,"first","odd","BUF",-17,0,1,0
2001,3,"first","odd","CAR",-21,0,1,0
2001,3,"first","odd","MIN",4,1,0,0
2001,3,"first","odd","NE",31,1,0,0
2001,3,"first","odd","NYG",8,1,0,0
2001,3,"first","odd","STL",32,1,0,0
2001,3,"first","odd","WAS",-32,0,1,0
2001,3,"first","odd","ARI",-20,0,1,0
2001,3,"first","odd","DEN",-7,0,1,0
2001,3,"first","odd","JAX",-9,0,1,0
2001,3,"first","odd","OAK",24,1,0,0
2001,3,"first","odd","SD",14,1,0,0
2001,3,"first","odd","PHI",22,1,0,0
2001,3,"first","odd","NYJ",-2,0,1,0
2001,4,"first","even","ATL",-28,0,1,0
2001,4,"first","even","BAL",19,1,0,0
2001,4,"first","even","CLE",4,1,0,0
2001,4,"first","even","MIA",20,1,0,0
2001,4,"first","even","NO",13,1,0,0
2001,4,"first","even","NYG",14,1,0,0
2001,4,"first","even","PHI",-1,0,1,0
2001,4,"first","even","PIT",9,1,0,0
2001,4,"first","even","BUF",-6,0,1,0
2001,4,"first","even","DEN",14,1,0,0
2001,4,"first","even","SEA",9,1,0,0
2001,4,"first","even","OAK",7,1,0,0
2001,4,"first","even","TB",4,1,0,0
2001,4,"first","even","SF",10,1,0,0
2001,4,"first","even","DET",-35,0,1,0
2001,5,"first","odd","ATL",-6,0,1,0
2001,5,"first","odd","CAR",-2,0,1,0
2001,5,"first","odd","CHI",7,1,0,0
2001,5,"first","odd","CIN",10,1,0,0
2001,5,"first","odd","GB",8,1,0,0
2001,5,"first","odd","KC",-3,0,1,0
2001,5,"first","odd","MIN",5,1,0,0
2001,5,"first","odd","NE",3,1,0,0
2001,5,"first","odd","STL",1,1,0,0
2001,5,"first","odd","TEN",3,1,0,0
2001,5,"first","odd","NYJ",4,1,0,0
2001,5,"first","odd","SEA",13,1,0,0
2001,5,"first","odd","IND",-5,0,1,0
2001,5,"first","odd","DAL",2,1,0,0
2001,6,"first","even","JAX",-3,0,1,0
2001,6,"first","even","CIN",-24,0,1,0
2001,6,"first","even","CLE",10,1,0,0
2001,6,"first","even","DET",-3,0,1,0
2001,6,"first","even","IND",-21,0,1,0
2001,6,"first","even","NO",-7,0,1,0
2001,6,"first","even","NYJ",-20,0,1,0
2001,6,"first","even","TB",-7,0,1,0
2001,6,"first","even","WAS",3,1,0,0
2001,6,"first","even","ARI",8,1,0,0
2001,6,"first","even","SD",17,1,0,0
2001,6,"first","even","MIN",22,1,0,0
2001,6,"first","even","NYG",-1,0,1,0
2001,7,"first","odd","KC",-7,0,1,0
2001,7,"first","odd","BAL",1,1,0,0
2001,7,"first","odd","CAR",-1,0,1,0
2001,7,"first","odd","CHI",6,1,0,0
2001,7,"first","odd","DET",-4,0,1,0
2001,7,"first","odd","STL",-3,0,1,0
2001,7,"first","odd","TB",27,1,0,0
2001,7,"first","odd","DAL",14,1,0,0
2001,7,"first","odd","WAS",14,1,0,0
2001,7,"first","odd","DEN",11,1,0,0
2001,7,"first","odd","PHI",-10,0,1,0
2001,7,"first","odd","SD",3,1,0,0
2001,7,"first","odd","SEA",-4,0,1,0
2001,7,"first","odd","PIT",27,1,0,0
2001,8,"first","even","ATL",-14,0,1,0
2001,8,"first","even","BUF",-16,0,1,0
2001,8,"first","even","GB",1,1,0,0
2001,8,"first","even","MIA",17,1,0,0
2001,8,"first","even","NYG",3,1,0,0
2001,8,"first","even","PIT",-3,0,1,0
2001,8,"first","even","TEN",4,1,0,0
2001,8,"first","even","ARI",-14,0,1,0
2001,8,"first","even","SF",8,1,0,0
2001,8,"first","even","CHI",6,1,0,0
2001,8,"first","even","SD",-5,0,1,0
2001,8,"first","even","WAS",13,1,0,0
2001,8,"first","even","NO",-7,0,1,0
2001,8,"first","even","OAK",10,1,0,0
2001,9,"second","odd","ATL",7,1,0,0
2001,9,"second","odd","CHI",-8,0,1,0
2001,9,"second","odd","CLE",-3,0,1,0
2001,9,"second","odd","DET",-3,0,1,0
2001,9,"second","odd","IND",-3,0,1,0
2001,9,"second","odd","JAX",17,1,0,0
